               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10255,            0.026974,            0.041026,           0.0029642,             0.35833,            0.032888,            0.010867,            0.051528,            0.017149,            0.015989,              0.0748,              0.0028,              0.0028
                   1,            0.069579,            0.025341,            0.021444,              0.7988,             0.15556,             0.13361,             0.05612,            0.041738,             0.01231,           0.0084071,            0.048587,           0.0055871,           0.0055871
                   2,            0.063507,            0.020827,            0.015059,             0.80252,             0.18536,             0.14831,            0.055915,            0.042897,           0.0087938,           0.0079128,            0.022259,           0.0082594,           0.0082594
                   3,            0.061905,            0.018391,            0.016092,             0.84582,             0.18056,             0.19438,            0.076674,            0.040098,           0.0071704,           0.0083031,            0.009406,            0.009406,            0.009406
                   4,            0.054038,            0.018314,            0.013349,             0.85691,               0.225,             0.26942,            0.089564,            0.036232,           0.0058735,           0.0080053,            0.009406,            0.009406,            0.009406
                   5,            0.050691,             0.01728,              0.0104,             0.90925,             0.21389,             0.26458,             0.12001,            0.034647,           0.0056136,           0.0075894,            0.009208,            0.009208,            0.009208
                   6,             0.04488,            0.015491,            0.011754,             0.81623,             0.23333,             0.19579,            0.079677,            0.035972,           0.0056441,           0.0074597,             0.00901,             0.00901,             0.00901
                   7,            0.043788,            0.016115,            0.013941,             0.87203,             0.22778,             0.26487,            0.095943,            0.032707,           0.0052592,           0.0084491,            0.008812,            0.008812,            0.008812
                   8,            0.045472,            0.014575,            0.010851,             0.88732,             0.26111,             0.28481,             0.16374,            0.027678,           0.0052147,            0.011497,            0.008614,            0.008614,            0.008614
                   9,            0.042905,            0.014694,            0.011782,             0.89549,             0.23889,             0.31089,             0.13424,            0.029955,            0.005168,            0.010318,            0.008416,            0.008416,            0.008416
                  10,            0.039571,            0.013637,            0.011424,             0.90513,             0.26667,             0.32331,             0.21392,            0.025491,           0.0052371,            0.011319,            0.008218,            0.008218,            0.008218
                  11,            0.040299,             0.01395,            0.013233,             0.92599,             0.28227,             0.36073,             0.23615,            0.030436,           0.0047807,            0.012656,             0.00802,             0.00802,             0.00802
                  12,            0.038645,            0.014344,            0.012556,             0.92425,             0.26389,              0.3202,             0.18877,            0.027165,           0.0053234,            0.011842,            0.007822,            0.007822,            0.007822
                  13,            0.040282,            0.014121,           0.0095663,             0.90816,             0.27778,             0.30692,             0.18537,            0.024406,           0.0050797,            0.012131,            0.007624,            0.007624,            0.007624
                  14,            0.038149,            0.013677,            0.010451,             0.94245,             0.27953,             0.33684,             0.19679,            0.024231,           0.0048196,            0.012244,            0.007426,            0.007426,            0.007426
                  15,            0.039242,            0.013807,            0.011206,              0.9299,             0.28166,             0.32726,             0.22696,            0.022428,           0.0045225,            0.013072,            0.007228,            0.007228,            0.007228
                  16,            0.034034,            0.012979,           0.0099287,              0.9412,             0.29444,             0.33062,             0.20505,            0.025631,           0.0042151,            0.012176,             0.00703,             0.00703,             0.00703
                  17,            0.037888,            0.012346,            0.010586,             0.96249,             0.29444,             0.32252,             0.18649,            0.024953,           0.0040329,            0.013587,            0.006832,            0.006832,            0.006832
                  18,             0.03709,            0.012094,            0.010505,              0.9525,             0.29167,             0.32049,             0.22531,             0.02328,           0.0042558,            0.012018,            0.006634,            0.006634,            0.006634
                  19,            0.036317,            0.012188,            0.011314,             0.95359,             0.29194,             0.32272,             0.22443,            0.019226,            0.004081,            0.013543,            0.006436,            0.006436,            0.006436
                  20,            0.031854,            0.011839,            0.010194,             0.94608,             0.29722,             0.32767,             0.23526,            0.023048,           0.0039593,            0.017434,            0.006238,            0.006238,            0.006238
                  21,            0.031981,             0.01148,           0.0090865,             0.95579,             0.30884,             0.33077,             0.23838,            0.020178,           0.0038612,            0.016835,             0.00604,             0.00604,             0.00604
                  22,            0.033968,             0.01126,           0.0097805,             0.95326,             0.30656,             0.32183,             0.22955,            0.018331,           0.0041043,            0.013555,            0.005842,            0.005842,            0.005842
                  23,            0.033583,            0.011953,            0.011322,             0.95559,             0.29167,             0.31914,             0.23298,            0.019871,           0.0040506,            0.016586,            0.005644,            0.005644,            0.005644
                  24,            0.033242,            0.011421,           0.0088281,             0.95776,             0.31389,             0.33409,              0.2405,            0.020637,           0.0038497,            0.013208,            0.005446,            0.005446,            0.005446
                  25,            0.032534,            0.011277,             0.01083,             0.95472,             0.31111,             0.35282,             0.24792,            0.021446,           0.0038045,            0.015317,            0.005248,            0.005248,            0.005248
                  26,            0.029429,            0.011259,           0.0083062,             0.96679,             0.30126,             0.35186,             0.24811,            0.019387,           0.0038085,            0.016435,             0.00505,             0.00505,             0.00505
                  27,            0.029685,            0.011056,           0.0090771,             0.96848,             0.30278,             0.33565,             0.24195,            0.018644,           0.0036846,            0.013565,            0.004852,            0.004852,            0.004852
                  28,            0.030109,            0.010899,           0.0084905,             0.96838,             0.29155,             0.33309,             0.24268,            0.018074,           0.0038045,            0.012265,            0.004654,            0.004654,            0.004654
                  29,            0.029511,            0.010568,           0.0088269,              0.9588,                 0.3,             0.33001,             0.24343,            0.017035,           0.0038075,            0.015219,            0.004456,            0.004456,            0.004456
                  30,            0.029576,            0.011133,            0.010027,             0.95516,             0.28333,             0.32112,             0.23567,            0.018648,           0.0038903,             0.01383,            0.004258,            0.004258,            0.004258
                  31,            0.030123,            0.011165,            0.008151,              0.9615,             0.27653,             0.34306,             0.24727,            0.019335,           0.0038267,            0.014374,             0.00406,             0.00406,             0.00406
                  32,            0.029737,            0.011114,            0.008602,             0.25743,             0.31111,             0.36135,              0.2616,            0.018842,           0.0036736,            0.015824,            0.003862,            0.003862,            0.003862
                  33,            0.030205,            0.011003,           0.0086364,             0.26026,             0.30667,             0.36306,             0.26766,            0.018639,           0.0037966,            0.016811,            0.003664,            0.003664,            0.003664
                  34,            0.028222,            0.011348,           0.0071428,             0.26883,             0.31389,              0.3597,             0.27461,            0.017059,           0.0037106,            0.018812,            0.003466,            0.003466,            0.003466
                  35,            0.030277,             0.01067,           0.0095455,             0.95794,             0.30278,             0.36646,             0.27212,            0.017641,           0.0037053,            0.019427,            0.003268,            0.003268,            0.003268
                  36,            0.027843,            0.010382,           0.0076196,             0.97151,             0.29717,             0.37301,             0.27975,            0.018228,           0.0036566,            0.017583,             0.00307,             0.00307,             0.00307
                  37,            0.027661,            0.010959,           0.0067685,              0.9697,             0.29167,             0.35724,             0.26816,            0.017643,           0.0035578,            0.015522,            0.002872,            0.002872,            0.002872
                  38,            0.027214,            0.010637,           0.0085596,             0.97559,             0.28889,             0.35522,             0.26722,            0.017017,           0.0034914,            0.015802,            0.002674,            0.002674,            0.002674
                  39,            0.026073,            0.010204,           0.0070108,             0.96805,             0.29444,             0.36131,             0.27453,            0.015959,           0.0034785,             0.01603,            0.002476,            0.002476,            0.002476
                  40,            0.027608,            0.010213,           0.0074459,             0.96495,             0.30733,             0.36337,             0.26642,            0.017546,           0.0034506,            0.017168,            0.002278,            0.002278,            0.002278
                  41,            0.026279,           0.0094774,           0.0086701,             0.97262,             0.30278,             0.37012,             0.26513,            0.018345,           0.0035223,            0.017574,             0.00208,             0.00208,             0.00208
                  42,            0.026148,            0.010464,           0.0072324,              0.2943,             0.38056,             0.36336,             0.27785,            0.017321,           0.0035887,             0.01809,            0.001882,            0.001882,            0.001882
                  43,            0.025125,            0.010451,           0.0058286,             0.64866,             0.38056,             0.36296,             0.27841,            0.016652,           0.0035827,            0.018428,            0.001684,            0.001684,            0.001684
                  44,            0.027527,           0.0099334,           0.0065662,             0.29324,             0.38333,             0.36973,             0.27864,            0.015747,           0.0034492,            0.017689,            0.001486,            0.001486,            0.001486
                  45,            0.025289,            0.009786,           0.0061612,             0.63339,             0.38056,             0.37701,              0.2842,            0.016397,            0.003479,            0.018213,            0.001288,            0.001288,            0.001288
                  46,            0.026545,             0.01039,           0.0068315,             0.62444,             0.38056,             0.36935,             0.27747,            0.016863,           0.0035668,            0.017789,             0.00109,             0.00109,             0.00109
                  47,            0.022812,           0.0091702,           0.0064344,              0.2909,             0.38333,             0.36805,             0.27461,            0.017228,            0.003559,            0.018032,            0.000892,            0.000892,            0.000892
                  48,             0.02531,            0.010314,           0.0059897,             0.29008,             0.38056,              0.3747,             0.28862,             0.01745,           0.0035676,             0.01843,            0.000694,            0.000694,            0.000694
                  49,            0.024117,           0.0094772,           0.0083559,             0.25831,             0.31389,             0.37361,             0.28434,            0.017075,           0.0036129,            0.018794,            0.000496,            0.000496,            0.000496
